2023-07-31 10:29:26,986 | DEBUG | nextcord.gateway |  Sending "{"op":3,"d":{"activities":[{"type":0,"name":"with your balls","timestamps":{}}],"afk":false,"since":0.0,"status":"online"}}" to change status
2023-07-31 10:29:32,128 | DEBUG | nextcord.gateway |  For Shard ID None: WebSocket Event: {"t":"TYPING_START","s":3,"op":0,"d":{"user_id":"519920731904016384","timestamp":1690795772,"member":{"user":{"username":"traditionallimb","public_flags":64,"id":"519920731904016384","global_name":"limb","display_name":"limb","discriminator":"0","bot":false,"avatar_decoration":null,"avatar":"de33a6dc157df16fac75697ed4324129"},"roles":["884840496554475552","883760066581377026","890609104232546414","890996070627295262","883761221306818620","884840542398205982"],"premium_since":null,"pending":false,"nick":null,"mute":false,"joined_at":"2021-09-04T17:37:57.083000+00:00","flags":0,"deaf":false,"communication_disabled_until":null,"avatar":null},"channel_id":"883781331857846292","guild_id":"883749537779437568"}}
2023-07-31 10:29:32,128 | DEBUG | nextcord.client |  Dispatching event socket_event_type
2023-07-31 10:29:32,128 | DEBUG | nextcord.client |  Dispatching event raw_typing
2023-07-31 10:29:32,128 | DEBUG | nextcord.client |  Dispatching event typing
2023-07-31 10:29:34,314 | DEBUG | nextcord.gateway |  For Shard ID None: WebSocket Event: {"t":"MESSAGE_CREATE","s":4,"op":0,"d":{"type":0,"tts":false,"timestamp":"2023-07-31T09:29:34.294000+00:00","referenced_message":null,"pinned":false,"nonce":"1135504519375880192","mentions":[],"mention_roles":[],"mention_everyone":false,"member":{"roles":["884840496554475552","883760066581377026","890609104232546414","890996070627295262","883761221306818620","884840542398205982"],"premium_since":null,"pending":false,"nick":null,"mute":false,"joined_at":"2021-09-04T17:37:57.083000+00:00","flags":0,"deaf":false,"communication_disabled_until":null,"avatar":null},"id":"1135504520303095808","flags":0,"embeds":[],"edited_timestamp":null,"content":"b!beemovie all","components":[],"channel_id":"883781331857846292","author":{"username":"traditionallimb","public_flags":64,"id":"519920731904016384","global_name":"limb","discriminator":"0","avatar_decoration":null,"avatar":"de33a6dc157df16fac75697ed4324129"},"attachments":[],"guild_id":"883749537779437568"}}
2023-07-31 10:29:34,314 | DEBUG | nextcord.client |  Dispatching event socket_event_type
2023-07-31 10:29:34,314 | DEBUG | nextcord.client |  Dispatching event message
2023-07-31 10:29:34,314 | DEBUG | nextcord.client |  Dispatching event command
2023-07-31 10:29:34,521 | DEBUG | nextcord.gateway |  For Shard ID None: WebSocket Event: {"t":"MESSAGE_CREATE","s":5,"op":0,"d":{"type":0,"tts":false,"timestamp":"2023-07-31T09:29:34.405000+00:00","referenced_message":null,"pinned":false,"mentions":[],"mention_roles":[],"mention_everyone":false,"member":{"roles":["977971971939766406"],"premium_since":null,"pending":false,"nick":null,"mute":false,"joined_at":"2022-05-22T16:31:27.995000+00:00","flags":0,"deaf":false,"communication_disabled_until":null,"avatar":null},"id":"1135504520768667659","flags":0,"embeds":[],"edited_timestamp":null,"content":"Bee Movie Script - Dialogue Transcript","components":[],"channel_id":"883781331857846292","author":{"username":"bmil","public_flags":0,"id":"608266907476426762","global_name":null,"discriminator":"9300","bot":true,"avatar_decoration":null,"avatar":"567fda2a6d33bda16602ee4a33680a74"},"attachments":[],"guild_id":"883749537779437568"}}
